iter	Passed	Remaining
525	19195	17297
526	19259	17285
527	19290	17244
528	19318	17200
529	19332	17143
530	19360	17100
531	19393	17060
532	19431	17025
533	19460	16982
534	19490	16940
535	19520	16898
536	19555	16860
537	19590	16823
538	19654	16810
539	19668	16754
540	19696	16711
541	19727	16670
542	19773	16642
543	19804	16601
544	19838	16562
545	19872	16524
546	19907	16486
547	19939	16446
548	19975	16409
549	20007	16369
550	20040	16330
551	20085	16300
552	20117	16261
553	20147	16219
554	20179	16179
555	20209	16138
556	20239	16097
557	20273	16059
558	20308	16021
559	20339	15981
560	20373	15943
561	20406	15903
562	20437	15863
563	20468	15823
564	20500	15783
565	20530	15742
566	20563	15703
567	20593	15662
568	20625	15622
569	20657	15583
570	20695	15548
571	20725	15508
572	20756	15467
573	20799	15436
574	20828	15395
575	20860	15355
576	20895	15318
577	20930	15281
578	20961	15241
579	20990	15199
580	21019	15158
581	21064	15129
582	21094	15087
583	21130	15051
584	21161	15012
585	21192	14972
586	21223	14932
587	21254	14892
588	21285	14852
589	21298	14800
590	21329	14760
591	21363	14723
592	21409	14693
593	21440	14654
594	21469	14613
595	21500	14574
596	21530	14533
597	21563	14495
598	21598	14458
599	21633	14422
600	21666	14384
601	21695	14343
602	21736	14310
603	21769	14272
604	21803	14235
605	21837	14198
606	21869	14159
607	21940	14145
608	21975	14108
609	22009	14071
610	22037	14030
611	22077	13996
612	22108	13957
613	22137	13917
614	22169	13878
615	22202	13840
616	22237	13803
617	22259	13759
618	22289	13719
619	22318	13678
620	22349	13639
621	22382	13602
622	22418	13565
623	22453	13529
624	22485	13491
625	22518	13453
626	22562	13422
627	22595	13384
628	22632	13349
629	22665	13311
630	22695	13272
631	22734	13237
632	22763	13197
633	22794	13158
634	22833	13124
635	22871	13089
636	22905	13052
637	22939	13015
638	22970	12977
639	23002	12939
640	23033	12900
641	23079	12869
642	23111	12831
643	23150	12797
644	23182	12759
645	23214	12721
646	23248	12684
647	23278	12645
648	23309	12606
649	23343	12569
650	23392	12540
651	23422	12501
652	23456	12464
653	23487	12426
654	23531	12394
655	23564	12357
656	23610	12326
657	23645	12289
658	23677	12251
659	23708	12213
660	23739	12175
661	23774	12138
662	23810	12102
663	23843	12065
664	23872	12025
665	23902	11987
666	23937	11950
667	23968	11912
668	24000	11874
669	24036	11838
670	24065	11799
671	24113	11769
672	24144	11731
673	24183	11697
674	24227	11665
675	24285	11639
676	24322	11604
677	24359	11568
678	24388	11529
679	24422	11492
680	24460	11457
681	24497	11422
682	24532	11386
683	24564	11348
684	24599	11312
685	24632	11274
686	24671	11240
687	24711	11206
688	24742	11168
689	24779	11132
690	24814	11096
691	24851	11060
692	24889	11025
693	24922	10988
694	24954	10951
695	24986	10913
696	25023	10878
697	25054	10840
698	25087	10803
699	25119	10765
700	25182	10741
701	25229	10710
702	25261	10672
703	25296	10636
704	25328	10598
705	25381	10569
706	25413	10531
707	25442	10493
708	25474	10455
709	25504	10417
710	25535	10379
711	25571	10343
712	25606	10307
713	25637	10269
714	25681	10236
715	25711	10198
716	25744	10161
717	25779	10125
718	25821	10091
719	25853	10054
720	25885	10016
721	25916	9978
722	25947	9941
723	25976	9902
