,url,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,awards,places,awards_count
210,https://www.goodreads.com/book/show/35743.The_Tin_Drum,The Tin Drum,"Günter Grass, ",1815,39320,3.96,580,1959,True,"['Fiction', 'Classics', 'European Literature']","PEN Translation Prize for Ralph Manheim (1964), Prix du Meilleur Livre Étranger for Roman (1962), Schlegel-Tieck Prize for Breon Mitchell (2010), Preis der Gruppe 47 (1958)",Germany,4
211,https://www.goodreads.com/book/show/4137.Me_Talk_Pretty_One_Day,Me Talk Pretty One Day,David Sedaris,17765,637115,3.99,272,2000,False,"['Nonfiction', 'Humor', 'Autobiography']","Lambda Literary Award for Humor (2001), Puddly Award for Humor (2001), Thurber Prize for American Humor (2001)",France,3
212,https://www.goodreads.com/book/show/16634.The_Glass_Bead_Game,The Glass Bead Game,"Hermann Hesse, ",1628,32953,4.12,578,1943,False,"['Fiction', 'Classics', 'Philosophy']","Премія імені Максима Рильського (1992), Retro Hugo Award Nominee for Best Novel (2019)",,2
213,https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar,The Very Hungry Caterpillar,Eric Carle,8331,419314,4.28,26,1969,False,"['Childrens', 'Picture Books', 'Childrens']",California Young Readers Medal Nominee for Primary (1976),,1
214,https://www.goodreads.com/book/show/12395.Journey_to_the_End_of_the_Night,Journey to the End of the Night,"Louis-Ferdinand Céline, ",2054,33507,4.22,453,1932,True,"['Fiction', 'Classics', 'Cultural']","Prix Renaudot (1932), Βραβείο Λογοτεχνικής Μετάφρασης ΕΚΕΜΕΛ Nominee for Γαλλόφωνη Λογοτεχνία (2008)",,2
215,https://www.goodreads.com/book/show/298275.Nausea,Nausea,"Jean-Paul Sartre, ",3384,91785,3.92,178,1938,False,"['Philosophy', 'Fiction', 'Classics']",Grand Prix des meilleurs romans du demi-siècle Nominee (1950),,1
216,https://www.goodreads.com/book/show/17841.Foucault_s_Pendulum,Foucault's Pendulum,"Umberto Eco, ",3421,61525,3.9,623,1988,False,"['Fiction', 'Mystery', 'Historical']","PEN Translation Prize for William Weaver (1990), Premio Bancarella (1989), Ars Translationis (1998)",Italy,3
217,https://www.goodreads.com/book/show/101299.The_Reader,The Reader,"Bernhard Schlink, ",10532,176648,3.76,216,1995,False,"['Fiction', 'Historical', 'Historical Fiction']","Los Angeles Times Book Prize Nominee for Fiction (1997), Exclusive Books Boeke Prize (1999), Prix des libraires du Québec for Lauréats hors Québec (1997), Prix Laure Bataillon (1997), Premio Grinzane Cavour Nominee for Narrativa Straniera (1997)...moreΕλληνο-γερμανικό Βραβείο Μετάφρασης for Ιάκωβος Κοπερτί (2000), International Dublin Literary Award Nominee for Shortlist (1999)...less ",,6
218,https://www.goodreads.com/book/show/8337.Little_House_in_the_Big_Woods,Little House in the Big Woods,"Laura Ingalls Wilder, ",6206,240714,4.18,198,1932,True,"['Classics', 'Historical', 'Historical Fiction']",Lewis Carroll Shelf Award (1958),United States,1
219,https://www.goodreads.com/book/show/5527.All_the_King_s_Men,All the King's Men,Robert Penn Warren,2693,60346,4.06,439,1946,False,"['Fiction', 'Classics', 'Historical']","Pulitzer Prize for Fiction (1947), Prix du Meilleur Livre Étranger for Roman (1953), Mikael Agricola -palkinto (1977)",United States,3
