iter	Passed	Remaining
881	28485	3810
882	28515	3778
883	28546	3745
884	28579	3713
885	28610	3681
886	28640	3648
887	28674	3616
888	28705	3584
889	28735	3551
890	28766	3519
891	28799	3486
892	28831	3454
893	28864	3422
894	28896	3390
895	28928	3357
896	28960	3325
897	28992	3293
898	29025	3260
899	29059	3228
900	29091	3196
901	29125	3164
902	29163	3132
903	29194	3100
904	29227	3068
905	29241	3033
906	29272	3001
907	29307	2969
908	29337	2936
909	29366	2904
910	29396	2871
911	29426	2839
912	29458	2807
913	29491	2774
914	29521	2742
915	29553	2710
916	29584	2677
917	29614	2645
918	29643	2612
919	29673	2580
920	29720	2549
921	29772	2518
922	29814	2487
923	29854	2455
924	29890	2423
925	29923	2391
926	29957	2359
927	29993	2327
928	30027	2294
929	30060	2262
930	30097	2230
931	30134	2198
932	30170	2166
933	30203	2134
934	30238	2102
935	30270	2069
936	30303	2037
937	30335	2005
938	30369	1972
939	30403	1940
940	30440	1908
941	30477	1876
942	30510	1844
943	30546	1812
944	30579	1779
945	30615	1747
946	30650	1715
947	30682	1682
948	30716	1650
949	30750	1618
950	30782	1586
951	30815	1553
952	30850	1521
953	30884	1489
954	30917	1456
955	30951	1424
956	30992	1392
957	31022	1360
958	31050	1327
959	31080	1295
960	31110	1262
961	31140	1230
962	31170	1197
963	31199	1165
964	31228	1132
965	31259	1100
966	31288	1067
967	31318	1035
968	31350	1002
969	31377	970
970	31407	938
971	31437	905
972	31466	873
973	31494	840
974	31524	808
975	31557	776
976	31588	743
977	31617	711
978	31646	678
979	31681	646
980	31710	614
981	31745	581
982	31780	549
983	31814	517
984	31848	484
985	31890	452
986	31922	420
987	31954	388
988	31987	355
989	32023	323
990	32058	291
991	32091	258
992	32125	226
993	32158	194
994	32190	161
995	32204	129
996	32241	97
997	32277	64
998	32314	32
999	32348	0
